x	y
0.029026177	0.30708229
0.028710937	0.30721711
0.028366037	0.30736054
0.028167394	0.30743902
0.027929688	0.30753639
0.027539063	0.30769499
0.027289438	0.30779165
0.027090798	0.30786597
0.026757813	0.30799768
0.026388225	0.30813796
0.026186842	0.30820859
0.025976563	0.30828833
0.025585938	0.30843968
0.025277253	0.30855235
0.025075645	0.30862161
0.024804688	0.30872729
0.024414063	0.30888155
0.024181903	0.30897003
0.023980831	0.30904633
0.023632813	0.30919468
0.023321928	0.30932574
0.023121908	0.30940757
0.022851563	0.30953185
0.022505487	0.30969402
0.022306896	0.30978546
0.022070313	0.30990577
0.021734901	0.31008147
0.021537806	0.3101854
0.021289063	0.31032746
0.021004776	0.31049378
0.020807809	0.31061126
0.020507813	0.31080182
0.020307254	0.31093394
0.020109948	0.31106933
0.019836868	0.31126568
0.019640575	0.31141119
0.019390013	0.31160642
0.019196005	0.31176439
0.018964724	0.31195886
0.018770261	0.31212728
0.018555832	0.31232125
0.018362596	0.31250308
0.018164866	0.31269575
0.017971873	0.3128939
0.017792016	0.31308594
0.017597843	0.31330438
0.017438201	0.31349847
0.017242678	0.31374497
0.017100833	0.31394117
0.016901743	0.31422748
0.016782361	0.31442822
0.016666748	0.31464844
0.016479245	0.31499576
0.016389722	0.31519632
0.016301702	0.31542969
0.016169741	0.31582031
0.016187832	0.31621094
0.016299173	0.31660156
0.016383577	0.31686927
0.016445007	0.31706311
0.016544128	0.31738281
0.016650282	0.31777344
0.016740512	0.31816406
0.016786983	0.3184221
0.016817282	0.31861567
0.016861039	0.31894531
0.016897807	0.31933594
0.016921442	0.31972656
0.016935607	0.32011719
0.016938581	0.32050781
0.016929263	0.32089844
0.016910182	0.32128906
0.016878054	0.32167969
0.016827237	0.32206828
0.016795629	0.32225814
0.016751092	0.3224682
0.016643067	0.32285156
0.0164934	0.32323413
0.01639607	0.32341888
0.016258901	0.3236342
0.016055369	0.32386844
0.015829101	0.32407164
0.01561982	0.32421579
0.015429688	0.32431733
0.015039063	0.32448008
0.014692178	0.324577
0.01448999	0.3246163
0.014257813	0.32463809
0.013867188	0.32465783
0.013476563	0.32462449
0.013085938	0.32465207
0.012853789	0.32461664
0.012695312	0.32456598
0.012304688	0.3244773
0.012155646	0.32466337
0.012098325	0.32480469
0.012093765	0.3250799
0.012129526	0.32528119
0.012093539	0.32542355
0.012279883	0.32566065
0.012493597	0.32578434
0.012695312	0.32562478
0.013085938	0.32552663
0.013476563	0.32546095
0.013867188	0.32545538
0.014257813	0.32546586
0.014648438	0.32547302
0.015039063	0.32543287
0.015220589	0.3253878
0.015429688	0.32533205
0.015820312	0.32523283
0.016208133	0.32508042
0.016396709	0.32499575
0.016601562	0.32489866
0.016977995	0.32470729
0.017162717	0.32459496
0.017382813	0.32446743
0.017705446	0.32428782
0.017902373	0.32418363
0.018164063	0.32404785
0.018479844	0.32388857
0.018664099	0.3237862
0.018945313	0.32366184
0.019335938	0.32354257
0.019726563	0.3234853
0.020117188	0.32347065
0.020507813	0.32349393
0.020898438	0.32354995
0.021289063	0.32363668
0.021679688	0.3237584
0.021862091	0.32383316
0.022070313	0.32392075
0.022460938	0.32408938
0.022683324	0.32420367
0.02287409	0.32431647
0.023212749	0.3245112
0.023404779	0.32462932
0.023632813	0.32477006
0.023915818	0.32494531
0.02410744	0.32506857
0.024414063	0.32525345
0.024633537	0.32537716
0.024824213	0.32548455
0.025195313	0.32567613
0.025410846	0.3257725
0.025603833	0.32585567
0.025976563	0.32600684
0.026307356	0.32612412
0.026502035	0.32619301
0.026757813	0.32628051
0.027148438	0.32640764
0.027474508	0.32651643
0.027661039	0.32658906
0.027929688	0.32668515
0.028320312	0.32681262
0.02863733	0.32691348
0.028827128	0.32697907
