x	y	u	v
0.024478758	0.31777344	-0.00248683447728308	5.89466596609693e-05
0.024628442	0.32121069	-0.00214793634331698	-0.000350216490642715
0.023478546	0.32386393	-0.000958478445369313	-0.00109868088678875
0.020944138	0.32447354	-0.00148484912336287	-0.00163547639188075
0.022460938	0.3253545	-1.07664092194931e-05	-0.000207247663722792
0.025585938	0.32432489	-0.000308317570100261	-0.000806770528346554
0.028998347	0.32419123	-0.000133383724788194	0.000446376268441816
0.03161269	0.32540618	-0.000538959833721137	0.000968071237955288
0.03431714	0.32658315	-0.00024619625832337	0.000689955391365023
0.037304688	0.32761562	-0.000163392332161983	0.000517561706608259
0.040250729	0.32851064	-0.000135545704944157	0.000444861273172372
0.043164063	0.32944075	-0.00014967977896688	0.000443644375928498
0.046154214	0.33044949	-0.000136570893278918	0.00042868210135379
0.049023438	0.33139028	-0.000138937040698495	0.00041039450088598
0.052148248	0.33236627	-0.000108525039663648	0.000380828887270779
0.055103949	0.33319676	-8.56059936048414e-05	0.000347201663019071
0.056905709	0.27285156	-0.00176654714507412	0.000195536291072744
0.057126598	0.27636719	-0.00179426849066126	2.47004798013401e-05
0.056998565	0.27988281	-0.00179799393371655	-0.000158297141287963
0.056506453	0.28339844	-0.00176614253208324	-0.000341441197787942
0.055741207	0.28652344	-0.00170241264456944	-0.000507922983198548
0.05470379	0.28949317	-0.00161213355536922	-0.000655821731633758
0.053489972	0.29213745	-0.00151457381302024	-0.000776265405763869
0.052039009	0.2946662	-0.0013876259401483	-0.000883131265619765
0.05044673	0.29694843	-0.00125841911742311	-0.000961459487677592
0.048684382	0.29906038	-0.00111954418346778	-0.00101611869636165
0.046730363	0.30103749	-0.000973155604432053	-0.00104743144279906
0.044650588	0.3028298	-0.000848006254164948	-0.00106051790688117
0.042382813	0.30450719	-0.000724839608597329	-0.00105379035956326
0.040039062	0.30599792	-0.0005965704475444	-0.00102518199093737
0.037445108	0.30739445	-0.000486253444184052	-0.000973179836250442
0.034819999	0.30861736	-0.000416465750273215	-0.000959154864558888
0.032104067	0.30979845	-0.000457110737412717	-0.00101406158896076
0.029492188	0.31114723	-0.000688118641413747	-0.0011407298085043
0.027258382	0.31281221	-0.0011279607481775	-0.00122798913832812
0.025448697	0.31494052	-0.00187862179613769	-0.00112732804804305
