x	y	u	v
0.016169741	0.31582031	-0.00283259812838145	-0.000387782410941845
0.016861039	0.31894531	-0.00214106153549231	0.00024293111063801
0.016751092	0.3224682	-0.0019677426125077	-0.000479063058402744
0.014692178	0.324577	-3.0451814074759e-06	-1.42586490620663e-05
0.012098325	0.32480469	-0.00232710705145607	-1.79138504914306e-05
0.014257813	0.32546586	-6.92176319756609e-06	0.000362016853981354
0.017162717	0.32459496	-0.00047649257405645	-0.000819445857062638
0.020117188	0.32347065	-1.64825308342479e-08	1.51662503738744e-06
0.023212749	0.3245112	-0.000515354124265042	0.000870693095603986
0.025603833	0.32585567	-0.000323007334249898	0.000770021696744859
0.02863733	0.32691348	-0.000189213057386254	0.000580861136848134
0.031621574	0.32773952	-0.000128147547669581	0.000474930154820347
0.034570313	0.32858921	-0.000132157659442882	0.000433660352016667
0.037695313	0.32957137	-0.000153783909193144	0.000478625303145725
0.040567868	0.33048622	-9.51367631456659e-05	0.000311214171374566
0.043554688	0.3314296	-0.000135415122385117	0.00042147855852206
0.050382164	0.27233628	-0.00180356017248193	0.000215976122026103
0.050636426	0.27597656	-0.00182593944493141	3.16310888706703e-05
0.050474401	0.27988281	-0.00181351324848849	-0.000184729513242978
0.049978081	0.28309609	-0.00177258922793701	-0.000363000413571237
0.049175919	0.28619166	-0.00170106671022162	-0.000533905322083426
0.048082741	0.28914614	-0.00159939155441378	-0.000685816030806269
0.046835591	0.29172404	-0.00148841505104933	-0.00080537604437914
0.045344846	0.29418869	-0.00134623504325401	-0.000905938224052856
0.043698307	0.29642031	-0.00121107995779387	-0.000977152098680655
0.041862443	0.29850598	-0.00106899237395868	-0.00102356971848417
0.039872669	0.30041603	-0.0009140010388759	-0.00104034234389098
0.037695313	0.30216964	-0.000771392283804634	-0.00103656814144941
0.035351563	0.30377585	-0.000645797089987848	-0.00101897529190419
0.032990449	0.30517609	-0.000547394229245162	-0.000994303749557677
0.030273438	0.30653503	-0.000417584983179626	-0.000914201930228454
0.027539063	0.30769499	-0.000342367846941413	-0.000865314875294695
0.024804688	0.30872729	-0.000348117338102665	-0.000904134460175456
0.022070313	0.30990577	-0.000542396187856469	-0.00106763297440226
0.019640575	0.31141119	-0.000945896221266325	-0.0012449860261948
0.017597843	0.31330438	-0.00153184199240497	-0.0013061114193593
