x	y
0.029812066	0.31503355
0.029687095	0.31523371
0.02957496	0.31542969
0.029380029	0.315785
0.029280828	0.31598308
0.029175448	0.31621094
0.029005674	0.31660156
0.028916713	0.31682586
0.028848302	0.31701852
0.028731695	0.31738281
0.028636209	0.31777344
0.028579443	0.31816406
0.02856227	0.31855469
0.028567538	0.31894531
0.028598058	0.31933594
0.028630164	0.31972656
0.028650662	0.32011719
0.028649923	0.32050781
0.02862603	0.32089844
0.028580028	0.32128906
0.028532684	0.3215636
0.028489011	0.32176002
0.028404989	0.32207031
0.028273836	0.32246094
0.028164726	0.32275101
0.028079354	0.32294621
0.027933468	0.32324219
0.02777833	0.32350135
0.027628026	0.32370265
0.027443728	0.32392021
0.02716353	0.32412827
0.026892195	0.32421337
0.026659514	0.32422518
0.026367188	0.3241884
0.026367188	0.32441406
0.025976563	0.32421096
0.025585938	0.32416546
0.025405344	0.32422757
0.025260853	0.32441406
0.025141137	0.32480469
0.025180874	0.32519531
0.02540015	0.32538303
0.025585938	0.32548161
0.025976563	0.32558271
0.026367188	0.32550162
0.026757813	0.32544057
0.026946794	0.32538907
0.026963252	0.32539368
0.027148438	0.32532915
0.027539063	0.32521194
0.027929688	0.32511849
0.028223068	0.32503613
0.028397872	0.32495339
0.028710937	0.32482132
0.029092419	0.32467906
0.029287135	0.32460573
0.029298104	0.32460984
0.029492188	0.32452954
0.029882813	0.32439078
