x	y	u	v
0.015637049	0.3157842	-0.00320784709284532	-0.000242781946564286
0.016410909	0.31909982	-0.00213303593353386	0.00024354139739882
0.016312251	0.32246094	-0.00198736726628214	-0.000452792576361287
0.014442718	0.32460693	7.60212000355561e-06	3.23154301056443e-05
0.011626785	0.32480469	-0.00332948011180446	-0.00123872848813328
0.014648438	0.32548138	-7.90450558159142e-06	-4.00095178881815e-05
0.01729623	0.32427911	-0.000440620610088607	-0.000793713177453174
0.020507813	0.32354253	-6.89285593767406e-05	0.000354157878399574
0.023242188	0.32479654	-0.000599256974423189	0.000958312657051328
0.025901085	0.32612994	-0.000221583743331287	0.000633205757277161
0.028710937	0.32707233	-0.000171756203403284	0.000572692798827163
0.031835937	0.3278968	-0.000118310453972493	0.000432636253209235
0.034960937	0.32882613	-0.000152022934704986	0.000486495768205229
0.03779908	0.32971574	-0.000123325954191372	0.000399753209990533
0.040820313	0.33068364	-0.000155641922015779	0.000469666836498782
0.043814844	0.33162235	-0.000110891485318163	0.000393534650118051
0.049986362	0.27237932	-0.00180574652729973	0.00021661544829424
0.050235121	0.27597656	-0.00182760369520657	3.09239100274199e-05
0.05007134	0.27988281	-0.00181461868483045	-0.000185857169792959
0.049579617	0.28305868	-0.00177265438754929	-0.000365203532217984
0.048775148	0.28616009	-0.00170052526959791	-0.000536131744145267
0.047679172	0.28911576	-0.00159757391422932	-0.000687600476513001
0.04642882	0.29169464	-0.0014857431675591	-0.000807344251998765
0.044934364	0.29415912	-0.00134232223503591	-0.000906502881377571
0.043283074	0.29639017	-0.00120750922185439	-0.000978006730614288
0.041441769	0.29847446	-0.00106444457618824	-0.00102297112568042
0.039445989	0.30038439	-0.000907044915098048	-0.00103735920075896
0.037304688	0.3021047	-0.000768441454427213	-0.00103623886181121
0.034960937	0.30370821	-0.000640285464098179	-0.00101446239226236
0.032535438	0.30514045	-0.000544475428353138	-0.000992077764665128
0.029882813	0.30646317	-0.00042031651948171	-0.000922980534730707
0.027148438	0.3076188	-0.00035096299117236	-0.000884231450954416
0.024379153	0.30865451	-0.000341043254722347	-0.000900342870821878
0.021616041	0.30983178	-0.000541117871447756	-0.00107693774509015
0.0191587	0.31134172	-0.000974219411407692	-0.00129489414697028
0.017120486	0.31320613	-0.00116978710213092	-0.00104350169459237
