x	y
0.029963158	0.31087262
0.029766697	0.31098329
0.029492188	0.31114723
0.029248029	0.3112974
0.029050755	0.31142208
0.028758239	0.31161746
0.028563741	0.31175288
0.028320312	0.31193084
0.028105741	0.31209431
0.027908752	0.31225089
0.027672228	0.31244724
0.027476016	0.31261651
0.027258382	0.31281221
0.0270628	0.31299534
0.026862097	0.31319086
0.026667012	0.31338871
0.026480508	0.31358424
0.026282604	0.31379726
0.02611483	0.31399406
0.025916822	0.31424102
0.025772205	0.31444034
0.025633449	0.31464844
0.025448697	0.31494052
0.025334886	0.31513629
0.025176329	0.31542969
0.025038349	0.31570647
0.024948885	0.3159018
0.024817044	0.31621094
0.024672718	0.31659772
0.024563954	0.31699219
0.024804688	0.31699219
0.024498481	0.31738281
0.024478758	0.31777344
0.024518764	0.31816406
0.024579259	0.31855469
0.024607756	0.31876373
0.02463052	0.31895744
0.024670544	0.31933594
0.024697745	0.31972656
0.024710129	0.32011719
0.024701998	0.32050781
0.02467012	0.32089844
0.024628442	0.32121069
0.024595684	0.32140488
0.024539199	0.32167969
0.024439155	0.32207031
0.024320797	0.32246094
0.024237085	0.32270108
0.024152629	0.32290021
0.023981795	0.32324219
0.023845361	0.32346095
0.023679966	0.32366538
0.023478546	0.32386393
0.023242188	0.32404311
0.022932853	0.32418482
0.022723182	0.3242339
0.022460938	0.32425327
0.022070313	0.3242534
0.021679688	0.32419842
0.021491745	0.32421898
0.021464767	0.32421227
0.021233527	0.32427961
0.020944138	0.32447354
0.020748945	0.324695
0.020662284	0.32487575
0.020624591	0.32516898
0.020780424	0.32531668
0.021061228	0.32540163
0.021289063	0.3254134
0.021289063	0.32519531
0.021679688	0.32536575
0.022070313	0.32535169
0.022460938	0.3253545
0.022851563	0.32531473
0.023242188	0.3252383
0.023632813	0.32512497
0.023895523	0.32502726
0.024082296	0.32494435
0.024414063	0.3248083
0.024752069	0.32466963
0.024941086	0.32458399
0.025195313	0.32447667
0.025585938	0.32432489
0.025825034	0.3242342
0.026011254	0.32416614
0.026367188	0.32406076
0.026757813	0.32398123
0.027148438	0.32394013
0.027539063	0.32393779
0.027929688	0.32396842
0.028320312	0.32402638
0.028710937	0.32410986
0.028998347	0.32419123
0.029190675	0.32425125
0.029492188	0.32434608
0.029882813	0.32448438
